City,Latitude,Longitude,Weather Description,Temperature (°C),Perceived Temperature (°C),Humidity (%),Wind Speed (m/s),Timestamp
Igarra,7.2827,6.0878,overcast clouds,34.7,37.56,43,3.79,2024-03-07 13:32:06
Igabi,10.78887,7.77493,clear sky,38.96,37.93,20,3.13,2024-03-07 13:32:07
Ifon,6.92412,5.77603,overcast clouds,34.18,37.47,46,1.44,2024-03-07 13:32:08
Ifo,6.81437,3.19575,overcast clouds,32.79,34.34,44,3.31,2024-03-07 13:32:09
Ifira,10.70113,7.29455,broken clouds,38.3,37.54,22,3.69,2024-03-07 13:32:09
Ile-Ife,7.46667,4.56667,light rain,31.79,35.74,57,3,2024-03-07 13:32:10
Ifaki,7.78942,5.24852,overcast clouds,31.73,33.65,49,3.43,2024-03-07 13:32:11
Idiroko,6.63333,2.73333,overcast clouds,31.93,33.55,47,4.35,2024-03-07 13:32:12
Idanre,7.1127,5.1159,overcast clouds,33.94,36.4,44,2.11,2024-03-07 13:32:13
Idah,7.10651,6.73415,overcast clouds,37.24,40.54,37,2.66,2024-03-07 13:32:13
Icheu,7.7067,6.7718,overcast clouds,37.51,41.09,37,3.23,2024-03-07 13:32:14
Ibi,8.18333,9.75,scattered clouds,12.13,11.02,62,3.94,2024-03-07 13:32:15
Ibeto,10.48536,5.14502,scattered clouds,39.64,37.17,13,2.77,2024-03-07 13:32:16
Ibadan,7.38778,3.89639,broken clouds,32.94,38.67,58,4.63,2024-03-07 13:32:17
Hunkuyi,11.26676,7.65118,clear sky,38.41,36.35,16,2.97,2024-03-07 13:32:18
Holma,9.90083,13.05667,overcast clouds,37.56,35.54,17,0.58,2024-03-07 13:32:19
Hinna,10.30426,11.49905,overcast clouds,39.56,38.48,19,1.88,2024-03-07 13:32:19
Heipang,9.63333,8.88333,overcast clouds,32.69,30.95,24,1.26,2024-03-07 13:32:20
Hadejia,12.4498,10.0444,broken clouds,40.59,37.05,7,1.47,2024-03-07 13:32:21
Gwoza,11.10359,13.71298,overcast clouds,40.38,36.87,7,5.22,2024-03-07 13:32:22
Gwio Kura,12.6753,11.0682,overcast clouds,41.9,38.2,7,3.61,2024-03-07 13:32:23
Gwasero,9.48333,3.5,overcast clouds,39.87,38.9,19,1.07,2024-03-07 13:32:24
Gwarzo,11.91521,7.9346,clear sky,39.46,37.17,14,1.48,2024-03-07 13:32:25
Gwaram,11.27639,9.88583,clear sky,40.22,37.21,10,1.93,2024-03-07 13:32:25
Gwaram,10.23295,10.28572,clear sky,40.22,37.21,10,1.93,2024-03-07 13:32:26
Gwandu,12.49382,4.64227,broken clouds,40.77,37.06,6,3.05,2024-03-07 13:32:27
Gwadabawa,13.35612,5.23664,overcast clouds,40.95,37.06,5,2.72,2024-03-07 13:32:28
Gusau,12.16278,6.66135,scattered clouds,39.53,37.92,17,3.53,2024-03-07 13:32:29
Gummi,12.14358,5.10809,broken clouds,38.6,35.34,7,0.75,2024-03-07 13:32:29
Gumel,12.62791,9.39119,overcast clouds,40.12,36.65,7,1.87,2024-03-07 13:32:30
Gulma,12.64231,4.35545,broken clouds,40.92,37.04,5,3.21,2024-03-07 13:32:31
Gujba,11.5032,11.9367,scattered clouds,40.55,37.02,7,3.38,2024-03-07 13:32:32
Goronyo,13.44232,5.67632,broken clouds,40.97,37.22,6,2.97,2024-03-07 13:32:33
Gorgoram,12.6398,10.7039,broken clouds,41.34,37.71,7,1.98,2024-03-07 13:32:34
Gora,11.91294,7.6653,scattered clouds,5.71,2.06,48,5.37,2024-03-07 13:32:35
Goniri,11.48333,12.31444,overcast clouds,40.68,37.13,7,3.21,2024-03-07 13:32:36
Gombi,10.16138,12.7399,overcast clouds,39.35,36.51,11,0.08,2024-03-07 13:32:36
Gombe,10.28969,11.16729,overcast clouds,39.01,37.51,18,2.14,2024-03-07 13:32:37
Gidan Sarkin Gardi,12.07433,6.405,scattered clouds,39.93,38.17,16,4.02,2024-03-07 13:32:38
Gembu,6.7,11.26667,overcast clouds,32.34,30.43,22,0.98,2024-03-07 13:32:39
Geidam,12.897,11.9304,few clouds,42.14,38.41,7,5.38,2024-03-07 13:32:39
Gbongan,7.46667,4.35,light rain,32.89,36.94,53,2.8,2024-03-07 13:32:40
Gaya,11.86136,8.99714,clear sky,25.95,25.95,34,1.54,2024-03-07 13:32:41
Gassol,8.53333,10.46667,overcast clouds,39.77,41.46,27,4.23,2024-03-07 13:32:42
Gashua,12.871,11.0482,overcast clouds,41.83,38.13,7,4.05,2024-03-07 13:32:43
Garko,10.17506,11.16458,overcast clouds,38.98,37.96,20,2.33,2024-03-07 13:32:44
Ganye,8.43333,12.06667,overcast clouds,39.96,38.74,18,2.43,2024-03-07 13:32:45
Gandi,12.96358,5.74337,scattered clouds,40.59,37.05,7,2.72,2024-03-07 13:32:46
Gamboru,12.37066,14.21731,broken clouds,40.55,37.73,11,5.08,2024-03-07 13:32:46
Gamawa,12.1343,10.5396,scattered clouds,40.79,37.23,7,2.2,2024-03-07 13:32:47
Gakem,6.76578,8.98813,overcast clouds,33.83,36.77,46,4.52,2024-03-07 13:32:48
Gagarawa,12.40741,9.5277,overcast clouds,40.05,36.59,7,1.7,2024-03-07 13:32:49
Gabarin,11.1093,10.4441,broken clouds,39.67,36.52,9,2.32,2024-03-07 13:32:50
Funtua,11.52325,7.30813,few clouds,37.92,35.63,15,1.56,2024-03-07 13:32:51
Fili,8.43333,4.5,overcast clouds,2.16,-0.75,86,2.82,2024-03-07 13:32:51
Fiditi,7.71361,3.91722,overcast clouds,32.53,32.86,39,3.35,2024-03-07 13:32:52
Ezza-Ohu,6.4373,8.0862,overcast clouds,38.19,40.88,33,2.86,2024-03-07 13:32:53
Eyamba Town,4.44253,7.16747,broken clouds,30.27,35.45,69,4.31,2024-03-07 13:32:54
Etinan,4.84262,7.85252,light rain,32.56,37.14,56,3.58,2024-03-07 13:32:55
Ete,7.05,7.45,overcast clouds,34.88,37.29,41,3.53,2024-03-07 13:32:55
Esuk Oron,4.80293,8.25341,overcast clouds,32.01,37.4,61,3.17,2024-03-07 13:32:56
Epe,6.58412,3.98336,overcast clouds,32.12,37.05,59,3.56,2024-03-07 13:32:57
Enugu-Ukwu,6.17851,7.01156,overcast clouds,32.81,35.91,50,2.61,2024-03-07 13:32:58
Enugu-Ezike,6.9825,7.457,overcast clouds,34.5,36.59,41,3.38,2024-03-07 13:32:59
Enugu,6.4402,7.4943,overcast clouds,35.28,38.06,41,3.77,2024-03-07 13:32:59
Emure-Ekiti,7.43614,5.45932,overcast clouds,33.46,36.06,46,2.79,2024-03-07 13:33:00
Emene,6.4762,7.5851,overcast clouds,36.35,39.49,39,3.82,2024-03-07 13:33:01
Emagiti,9.06667,6.03333,overcast clouds,38.64,41.35,32,2.9,2024-03-07 13:33:02
Elelem,5.26566,7.14768,overcast clouds,32.84,34.42,44,2.34,2024-03-07 13:33:03
Elele,5.1009,6.81411,broken clouds,33.01,40.01,66,5.14,2024-03-07 13:33:04
Ekpoma,6.74206,6.139,overcast clouds,33.41,35.69,45,2.16,2024-03-07 13:33:05
Eket,4.64122,7.92092,overcast clouds,30.81,35.97,66,3.99,2024-03-07 13:33:06
Ejirin,6.61423,3.90019,overcast clouds,32.77,37.61,56,3.27,2024-03-07 13:33:07
Ejigbo,7.9,4.31667,scattered clouds,35.87,38.22,38,3.52,2024-03-07 13:33:08
Eha Amufu,6.65915,7.75961,overcast clouds,38.21,40.91,33,3.63,2024-03-07 13:33:08
Egbe,8.21667,5.51667,overcast clouds,34.53,36.08,39,2.45,2024-03-07 13:33:09
Efon-Alaaye,7.65,4.91667,overcast clouds,32.03,34.18,49,1.95,2024-03-07 13:33:10
Effium,6.62917,8.05925,overcast clouds,38.18,40.86,33,2.8,2024-03-07 13:33:11
Ebute Ikorodu,6.60086,3.48818,scattered clouds,33.18,40.18,62,7.72,2024-03-07 13:33:12
Dutsin-Ma,12.45167,7.49805,,,,,,2024-03-07 13:33:12
Dutsen Wai,10.85009,8.199,broken clouds,39.86,38.09,16,1.39,2024-03-07 13:33:13
Dutse,11.7594,9.33921,scattered clouds,40.29,37.28,10,1.59,2024-03-07 13:33:14
Duku,11.2361,4.90727,few clouds,39.75,36.21,6,2.47,2024-03-07 13:33:15
Dukku,10.82306,10.77167,overcast clouds,39.29,36.79,13,1.33,2024-03-07 13:33:16
Doma,8.38333,8.35,broken clouds,38.63,41.33,32,2.52,2024-03-07 13:33:17
Disina,11.48135,9.91903,clear sky,40.67,37.65,10,0.99,2024-03-07 13:33:18
Dindima,10.22629,10.15132,broken clouds,40.14,37.31,11,2.19,2024-03-07 13:33:18
Dillala,13.108,11.5703,broken clouds,41.78,38.09,7,5.49,2024-03-07 13:33:19
Dikwa,12.02396,13.91646,broken clouds,42.04,38.32,7,5.65,2024-03-07 13:33:20
Dengi,9.36667,9.95,broken clouds,40.43,39.99,20,2.14,2024-03-07 13:33:21
Dekina,7.69475,7.02218,overcast clouds,36.99,40.04,37,3.48,2024-03-07 13:33:22
Deba,10.20864,11.38586,overcast clouds,39.16,38.21,20,1.89,2024-03-07 13:33:23
Daura,13.03594,8.31631,overcast clouds,39.53,36.14,7,2.5,2024-03-07 13:33:24
Daura,11.5538,11.4085,overcast clouds,39.53,36.14,7,2.5,2024-03-07 13:33:24
Darazo,10.99375,10.41179,broken clouds,39.69,36.54,9,2.54,2024-03-07 13:33:25
Dapchi,12.4904,11.4944,overcast clouds,42.29,38.32,6,4.94,2024-03-07 13:33:26
Dan Sadau,11.29621,6.4952,clear sky,39.33,38.44,20,3.09,2024-03-07 13:33:27
Dankama,13.29782,7.79492,overcast clouds,39.95,37.51,13,1.64,2024-03-07 13:33:28
Dankalwa,11.7443,12.1867,broken clouds,41.76,38.07,7,4.04,2024-03-07 13:33:29
Danja,11.37643,7.56249,clear sky,38.02,35.9,16,2.29,2024-03-07 13:33:30
Dan Gora,11.53485,8.15224,clear sky,39.48,37.4,15,1.46,2024-03-07 13:33:30
Dange,12.85128,5.34705,broken clouds,40.43,36.92,7,2.44,2024-03-07 13:33:31
Damboa,11.15604,12.75758,clear sky,41.15,37.54,7,3.73,2024-03-07 13:33:32
Dambatta,12.43303,8.51541,few clouds,40.52,37.7,11,1.56,2024-03-07 13:33:33
Damaturu,11.747,11.9608,scattered clouds,41.92,38.21,7,4.06,2024-03-07 13:33:34
Damasak,13.09771,12.4952,clear sky,41.97,38.26,7,6.66,2024-03-07 13:33:35
Dakingari,11.64511,4.06046,scattered clouds,40.31,36.68,6,2.95,2024-03-07 13:33:35
Dadiya,9.61667,11.43333,overcast clouds,39.76,39.34,21,3.14,2024-03-07 13:33:36
Dabai,11.47652,5.20625,broken clouds,38.44,35.13,6,3.89,2024-03-07 13:33:37
Cross River State,5.75,8.5,broken clouds,34.7,38.54,46,2.38,2024-03-07 13:33:38
Tsafe,11.95527,6.92232,clear sky,38.74,36.95,17,2.94,2024-03-07 13:33:39
Calabar,4.9517,8.322,overcast clouds,33.05,37.6,54,1.99,2024-03-07 13:33:40
Burutu,5.35091,5.50758,overcast clouds,30.66,35.62,66,3.65,2024-03-07 13:33:41
Burumburum,11.39106,8.72341,clear sky,40.23,37.82,13,1.39,2024-03-07 13:33:42
Bunza,12.08444,4.02111,overcast clouds,40.35,36.59,5,2.87,2024-03-07 13:33:43
Bununu,9.86806,9.66278,overcast clouds,39.09,36.95,15,2.52,2024-03-07 13:33:43
Dass,10.0,9.51667,overcast clouds,38.42,36.19,15,3.79,2024-03-07 13:33:44
Bukuru,9.8,8.86667,overcast clouds,33.02,31.2,23,1.65,2024-03-07 13:33:46
Buguma,4.73407,6.86345,light rain,33.19,36.1,48,3.63,2024-03-07 13:33:47
Buga,8.49056,7.34139,scattered clouds,20.84,21.12,82,0.5,2024-03-07 13:33:48
Twon-Brass,4.31506,6.24176,overcast clouds,29.79,35.48,74,4.75,2024-03-07 13:33:48
Bornu Yassu,12.2774,12.5552,scattered clouds,42.46,38.69,7,5.98,2024-03-07 13:33:49
Borno State,11.5,13.0,scattered clouds,42.33,38.57,7,6.09,2024-03-07 13:33:50
Bori,4.67366,7.36201,overcast clouds,32.31,37.18,58,4.38,2024-03-07 13:33:51
Ugbokpo,7.6565,7.8664,overcast clouds,39.62,42.4,30,2.21,2024-03-07 13:33:52
Bonny,4.4522,7.16808,broken clouds,30.4,35.77,69,4.38,2024-03-07 13:33:53
Bomadi,5.15931,5.92516,broken clouds,33.03,37.88,55,3.36,2024-03-07 13:33:54
Bolori,11.88259,13.08901,overcast clouds,42.29,38.54,7,6.52,2024-03-07 13:33:54
Bokkos,9.3,9.0,broken clouds,32.35,30.88,27,3.68,2024-03-07 13:33:56
Bokani,9.43333,5.2,overcast clouds,39.41,40.11,25,4.08,2024-03-07 13:33:57
Boju,7.37834,7.91119,overcast clouds,38.62,40.92,31,3.01,2024-03-07 13:33:58
Boi,9.56833,9.49528,overcast clouds,36.68,34.84,19,3.39,2024-03-07 13:33:58
Bode Saadu,8.93333,4.78333,overcast clouds,39.19,40.45,27,2.33,2024-03-07 13:33:59
Biu,10.61285,12.19458,overcast clouds,37.43,34.73,12,0.88,2024-03-07 13:34:00
Birniwa,12.7903,10.2348,broken clouds,40.58,37.05,7,1.99,2024-03-07 13:34:01
Birnin Kudu,11.44588,9.4984,few clouds,40.24,37.41,11,1.61,2024-03-07 13:34:02
Birnin Kebbi,12.45389,4.1975,overcast clouds,40.39,36.62,5,2.73,2024-03-07 13:34:03
Sofo-Birnin-Gwari,11.01537,6.78036,scattered clouds,38.42,37.45,21,3.64,2024-03-07 13:34:04
Birim,10.062094,9.997027,scattered clouds,40.28,37.87,13,2.11,2024-03-07 13:34:05
Bin Yauri,10.7823,4.81135,clear sky,40.75,37.36,8,1.8,2024-03-07 13:34:06
Binji,13.22277,4.90955,broken clouds,41.03,37.13,5,3.34,2024-03-07 13:34:07
Billiri,9.86472,11.22528,broken clouds,37.66,36.89,23,3.43,2024-03-07 13:34:07
Bida,9.08333,6.01667,overcast clouds,38.86,41.77,32,2.85,2024-03-07 13:34:08
Benue State,7.33333,8.75,overcast clouds,37.76,40.06,33,3.34,2024-03-07 13:34:09
Benisheikh,11.8072,12.4909,overcast clouds,42.02,38.3,7,4.22,2024-03-07 13:34:10
Benin City,6.33504,5.62749,overcast clouds,34.27,38.31,48,3.2,2024-03-07 13:34:11
Bende,5.55718,7.63676,light rain,34.95,37.74,42,2.83,2024-03-07 13:34:12
Bena,11.28444,5.93472,few clouds,38.92,37.17,17,4.37,2024-03-07 13:34:13
Beli,7.85868,10.97187,overcast clouds,38.34,40.04,30,2,2024-03-07 13:34:14
Bebeji,11.66726,8.26217,clear sky,40.41,38.25,14,0.73,2024-03-07 13:34:14
Bauchi State,10.5,10.0,overcast clouds,40.77,37.75,10,2,2024-03-07 13:34:15
Bauchi,10.31344,9.84327,overcast clouds,40.77,37.75,10,2,2024-03-07 13:34:16
Batsari,12.75147,7.24472,clear sky,39.88,37.64,14,2.52,2024-03-07 13:34:17
Baro,8.6,6.41667,overcast clouds,39.78,42.71,30,1.9,2024-03-07 13:34:18
Bara,10.37444,10.72884,overcast clouds,39.88,38.63,18,0.78,2024-03-07 13:34:19
Bama,11.5221,13.68558,overcast clouds,41.69,38.01,7,5.87,2024-03-07 13:34:19
Bakori,11.55445,7.42425,clear sky,38.22,35.96,15,1.46,2024-03-07 13:34:20
Baissa,7.23333,10.63333,overcast clouds,36.85,39.41,36,4.18,2024-03-07 13:34:21
Bagudo,11.40329,4.22958,scattered clouds,40.8,37.08,6,3.59,2024-03-07 13:34:22
Bugana,7.99917,7.58361,overcast clouds,39.06,42.16,32,3.41,2024-03-07 13:34:23
Badeggi,9.05,6.15,broken clouds,39.09,42.22,32,3.14,2024-03-07 13:34:23
Badakoshi,10.54648,10.01186,overcast clouds,40.41,37.39,10,2.08,2024-03-07 13:34:24
Badagry,6.41667,2.88333,overcast clouds,31.62,36.49,61,4.43,2024-03-07 13:34:25
Babura,12.77305,9.01583,few clouds,40.32,36.82,7,2.46,2024-03-07 13:34:26
Babana,10.42949,3.81495,broken clouds,42.04,39.29,11,1.16,2024-03-07 13:34:27
Azare,11.6765,10.1948,clear sky,40.42,37.06,8,1.91,2024-03-07 13:34:28
Awka,6.21009,7.07411,overcast clouds,33.61,36.93,48,2.66,2024-03-07 13:34:29
Awgu,6.0742,7.4786,broken clouds,36.26,39.31,39,3.38,2024-03-07 13:34:30
Auna,10.18805,4.72318,few clouds,39.09,37.37,17,2.25,2024-03-07 13:34:31
Auchi,7.06667,6.26667,overcast clouds,34.94,37.72,42,3.8,2024-03-07 13:34:32
Asaba,6.20064,6.73384,overcast clouds,34.08,37.9,48,1.99,2024-03-07 13:34:33
Arochukwu,5.38979,7.91404,light rain,35.12,38.4,43,2.41,2024-03-07 13:34:34
Argungu,12.74334,4.52687,broken clouds,40.96,37.07,5,3.36,2024-03-07 13:34:35
Aramoko-Ekiti,7.70927,5.04474,overcast clouds,32.1,34.8,51,1.86,2024-03-07 13:34:35
Apomu,7.33333,4.18333,light rain,32.92,36.41,51,2.29,2024-03-07 13:34:36
Ankpa,7.37058,7.6253,overcast clouds,36.58,38.9,36,4.46,2024-03-07 13:34:37
Anka,12.11381,5.92427,overcast clouds,40.55,37.53,10,5.4,2024-03-07 13:34:38
Anchau,10.95967,8.39155,broken clouds,40.31,38.38,15,0.78,2024-03-07 13:34:39
Anambra State,6.33333,7.0,overcast clouds,33.41,36.83,49,2.55,2024-03-07 13:34:40
Amper,9.35,9.7,overcast clouds,39.01,38.27,21,2.67,2024-03-07 13:34:40
Amassoma,4.96917,6.10972,broken clouds,35.59,40.1,45,3.57,2024-03-07 13:34:41
Amaigbo,5.78917,7.83829,overcast clouds,36.98,40.02,37,2.22,2024-03-07 13:34:42
Amagunze,6.3267,7.6539,overcast clouds,37.07,40.2,37,3.66,2024-03-07 13:34:43
Aliade,7.2964,8.487,broken clouds,38.08,40.66,33,3.55,2024-03-07 13:34:44
Alapa,8.61667,4.38333,broken clouds,35.88,35.09,26,2.11,2024-03-07 13:34:45
Akwanga,8.91667,8.38333,overcast clouds,36.52,37.54,32,2.69,2024-03-07 13:34:46
Akwa Ibom State,5.0,7.83333,light rain,32.99,37.16,53,2.88,2024-03-07 13:34:46
Akure,7.25256,5.19312,overcast clouds,33.71,36.54,46,1.89,2024-03-07 13:34:47
Aku,6.7081,7.3167,overcast clouds,34.74,37.33,42,3.55,2024-03-07 13:34:48
Akko,10.28899,10.9732,scattered clouds,18.25,17.8,64,3.6,2024-03-07 13:34:49
Ake-Eze,5.91677,7.67615,broken clouds,37.24,40.54,37,2.63,2024-03-07 13:34:50
Akankpa,5.1264,8.1898,light rain,32.4,37.08,57,2.02,2024-03-07 13:34:52
Ajibo,7.46667,4.28333,light rain,32.84,36.25,51,2.76,2024-03-07 13:34:53
Ajasse Ipo,8.23333,4.81667,overcast clouds,35.58,38.99,42,2.93,2024-03-07 13:34:54
Ajaokuta,7.56229,6.65497,overcast clouds,37.26,40.97,38,2.96,2024-03-07 13:34:55
Ahoada,5.07395,6.65353,overcast clouds,33.14,35.2,45,1.82,2024-03-07 13:34:56
Agulu,6.11,7.0724,overcast clouds,33.52,36.75,48,2.98,2024-03-07 13:34:57
Ago-Are,8.5,3.41667,scattered clouds,36.83,37.76,31,3.16,2024-03-07 13:34:58
Agenebode,7.106,6.6966,overcast clouds,37.23,40.52,37,2.75,2024-03-07 13:34:59
Agbor,6.25183,6.19337,overcast clouds,35.42,39.01,43,3.13,2024-03-07 13:35:00
Agbabu,6.58862,4.8343,overcast clouds,33.65,38.29,52,3.53,2024-03-07 13:35:01
Agaie,9.01667,6.31667,broken clouds,39.46,42.52,31,3.11,2024-03-07 13:35:03
Afikpo,5.89312,7.93735,overcast clouds,36.9,39.5,36,2.3,2024-03-07 13:35:04
Adoru,6.97661,7.16268,overcast clouds,36.17,39.85,41,2.23,2024-03-07 13:35:05
Ado-Odo,6.6,2.93333,overcast clouds,33.12,36.53,50,4.39,2024-03-07 13:35:05
Ado-Ekiti,7.621,5.2215,overcast clouds,32.51,35.06,49,2.52,2024-03-07 13:35:06
Adani,6.73971,7.01117,overcast clouds,35.96,39.42,41,3.53,2024-03-07 13:35:07
Federal Capital Territory,8.83333,7.16667,overcast clouds,32.69,32.37,35,2.67,2024-03-07 13:35:08
Abuja,9.05735,7.48976,overcast clouds,33.08,32.74,34,3.75,2024-03-07 13:35:09
Abraka,5.79023,6.10473,overcast clouds,33.6,38.18,52,3.53,2024-03-07 13:35:10
Abocho,7.5677,6.9863,overcast clouds,34.88,36.7,39,3.4,2024-03-07 13:35:10
Abeokuta,7.15,3.35,overcast clouds,34.9,38.62,45,3.16,2024-03-07 13:35:12
Abakaliki,6.31625,8.11691,overcast clouds,38,40.89,34,3.26,2024-03-07 13:35:13
Abak,4.9797,7.79171,light rain,33.15,37.51,53,2.96,2024-03-07 13:35:14
Aba,5.10658,7.36667,light rain,32.79,35.33,48,2.98,2024-03-07 13:35:15
Abia State,5.41667,7.5,light rain,34.2,37.2,45,3.53,2024-03-07 13:35:16
Delta State,5.5,6.0,overcast clouds,32.14,37.4,60,2.61,2024-03-07 13:35:16
Adamawa State,9.33333,12.5,clear sky,39.64,43.77,33,7.72,2024-03-07 13:35:17
Edo,6.5,6.0,overcast clouds,35.7,39.24,42,2.22,2024-03-07 13:35:18
Enugu State,6.5,7.5,overcast clouds,35.31,38.12,41,3.8,2024-03-07 13:35:19
Jigawa State,12.0,9.75,few clouds,40.64,37.26,8,1.13,2024-03-07 13:35:20
Shogunle,6.57806,3.33444,scattered clouds,32.95,39.95,62,7.72,2024-03-07 13:35:21
Imogwu,4.98174,6.94338,light rain,33.01,40.01,66,5.14,2024-03-07 13:35:21
Degema Hulk,4.76254,6.752,light rain,33.18,35.27,45,3.6,2024-03-07 13:35:23
Orogbum,4.79071,7.01174,light rain,33.12,36.53,50,3.25,2024-03-07 13:35:25
Takurza,12.06425,8.53179,clear sky,40.29,37.67,12,1.88,2024-03-07 13:35:26
Bayelsa State,4.75,6.08333,scattered clouds,35.61,40.14,45,3.59,2024-03-07 13:35:26
Ebonyi State,6.25,8.08333,overcast clouds,37.89,40.68,34,3.47,2024-03-07 13:35:27
Ekiti State,7.66667,5.25,overcast clouds,32.82,35.93,50,2.91,2024-03-07 13:35:28
Gombe State,10.25,11.16667,overcast clouds,39.03,37.77,19,2.38,2024-03-07 13:35:29
Nasarawa State,8.5,8.25,overcast clouds,39.13,41.88,31,2.37,2024-03-07 13:35:30
Zamfara State,12.16667,6.25,broken clouds,40.37,38.45,15,4.49,2024-03-07 13:35:30
Kebbi State,11.5,4.0,clear sky,40.82,37.1,6,3.35,2024-03-07 13:35:31
Kogi State,7.75,6.75,overcast clouds,37.6,41.27,37,3.29,2024-03-07 13:35:32
Osun State,7.5,4.5,light rain,32.16,36.55,57,3.13,2024-03-07 13:35:33
Taraba State,8.0,10.5,overcast clouds,36.25,38.29,36,1.34,2024-03-07 13:35:34
Yobe State,12.0,11.5,overcast clouds,41.69,37.82,6,4.01,2024-03-07 13:35:34
Alodifi,7.2452,5.2956,overcast clouds,34.04,37.19,46,1.79,2024-03-07 13:35:36
Ishie Town,4.9936,8.3372,overcast clouds,32.44,37.17,57,1.89,2024-03-07 13:35:37
Hanwa,11.11861,7.70193,few clouds,38.55,36.93,18,2.48,2024-03-07 13:35:38
Sire,12.9299,5.20428,scattered clouds,40.69,36.99,6,2.97,2024-03-07 13:35:39
Afaha Oku,5.04827,7.9217,light rain,32.89,37.25,54,2.85,2024-03-07 13:35:40

City,Latitude,Longitude,Weather Description,Temperature (°C),Perceived Temperature (°C),Humidity (%),Wind Speed (m/s),Timestamp
Zuru,11.42406,5.22879,broken clouds,38.22,35.01,7,1.82,2024-03-07 16:50:19
Zungeru,9.81278,6.15583,overcast clouds,39.91,39.88,22,3.42,2024-03-07 16:50:19
Zaria,11.11128,7.7227,broken clouds,33.15,31.91,28,2.45,2024-03-07 16:50:20
Zango,13.05151,8.48765,scattered clouds,37.96,35.03,10,3.71,2024-03-07 16:50:21
Zalanga,10.61432,10.17647,scattered clouds,36.42,33.74,12,2.61,2024-03-07 16:50:22
Zaki Biam,7.51667,9.61667,overcast clouds,35.73,37.35,36,3.69,2024-03-07 16:50:23
Zadawa,11.4496,10.3672,broken clouds,36.1,33.37,11,2.09,2024-03-07 16:50:24
Yuli,9.69889,10.27444,broken clouds,38.39,36.94,19,3.59,2024-03-07 16:50:24
Yola,9.2,12.48333,overcast clouds,38.03,37.41,23,3.37,2024-03-07 16:50:25
Yenagoa,4.92472,6.26417,heavy intensity rain,27.6,31.38,82,1.77,2024-03-07 16:50:26
Yelwa,8.83333,9.63333,overcast clouds,38.16,38.15,25,3.27,2024-03-07 16:50:27
Yashikira,9.76667,3.4,broken clouds,38.31,36.06,15,0.63,2024-03-07 16:50:28
Yandev,7.36667,9.05,overcast clouds,34.73,36.44,39,5.71,2024-03-07 16:50:29
Yanda Bayo,11.5071,10.7459,overcast clouds,34.84,32.25,12,0.73,2024-03-07 16:50:29
Yamrat,10.11161,9.82604,scattered clouds,37.25,34.55,12,2.61,2024-03-07 16:50:30
Yajiwa,11.38385,12.7236,broken clouds,37.86,34.77,8,3.06,2024-03-07 16:50:31
Wuyo,10.38522,11.69678,broken clouds,37.93,35.98,17,2.05,2024-03-07 16:50:32
Wusasa,11.07543,7.67925,broken clouds,32.97,31.69,28,2.27,2024-03-07 16:50:33
Wurno,13.28777,5.42326,overcast clouds,39.34,36.09,8,1.96,2024-03-07 16:50:33
Wukari,7.85,9.78333,overcast clouds,35.7,37.29,36,2.57,2024-03-07 16:50:34
Wudil,11.81067,8.84505,scattered clouds,38.75,35.91,11,3.73,2024-03-07 16:50:35
Wawa,9.90222,4.41917,broken clouds,37.61,36.16,20,2.04,2024-03-07 16:50:36
Wauro Jabbe,9.26667,12.41667,overcast clouds,38.03,37.41,23,3.2,2024-03-07 16:50:36
Wasagu,11.3764,5.79536,scattered clouds,37.58,34.47,7,3.39,2024-03-07 16:50:37
Warri,5.51667,5.75,overcast clouds,30.37,34.7,65,3.88,2024-03-07 16:50:38
Wamba,8.93333,8.6,light rain,28.55,30.16,59,2.6,2024-03-07 16:50:40
Walmayo,7.7315,8.5441,broken clouds,39.53,39.96,24,1.55,2024-03-07 16:50:41
Wagini,12.68781,7.19579,scattered clouds,37.73,35.74,17,2.51,2024-03-07 16:50:42
Vom,9.73333,8.78333,overcast clouds,29.68,28.53,31,2.13,2024-03-07 16:50:42
Uyo,5.03333,7.92657,overcast clouds,32,36.78,59,2.43,2024-03-07 16:50:43
Uruobo-Okija,5.90016,6.84312,overcast clouds,34.04,36.89,45,2.52,2024-03-07 16:50:44
Uromi,6.7,6.33333,moderate rain,28.64,30.58,61,3.23,2024-03-07 16:50:45
Umunede,6.26374,6.31161,light rain,29.98,32.6,59,2.39,2024-03-07 16:50:47
Umuahia,5.52627,7.48959,overcast clouds,32.97,35.95,49,3.04,2024-03-07 16:50:47
Ukata,10.83122,5.82494,broken clouds,37.49,34.68,11,3.07,2024-03-07 16:50:48
Ughelli,5.48986,6.00743,light rain,30.77,35.35,64,3.09,2024-03-07 16:50:49
Ugep,5.8086,8.0812,overcast clouds,33.31,36.62,49,3.49,2024-03-07 16:50:50
Uga Soja,7.7124,8.6137,broken clouds,39.23,39.82,25,1.85,2024-03-07 16:50:51
Uga,5.93576,7.0793,overcast clouds,32.93,35.07,46,2.47,2024-03-07 16:50:51
Udi,6.3144,7.4258,overcast clouds,32.22,33.39,44,3.61,2024-03-07 16:50:52
Ubiaja,6.65504,6.38687,moderate rain,29.5,32.08,61,3.13,2024-03-07 16:50:53
Uba,10.45306,13.22139,broken clouds,28.21,32.14,77,1.67,2024-03-07 16:50:54
