City,Latitude,Longitude,Weather Description,Temperature (°C),Perceived Temperature (°C),Humidity (%),Wind Speed (m/s),Timestamp
Samamiya,11.34873,9.63989,broken clouds,39.69,37.22,13,1.4,2024-03-07 13:28:26
Sade,11.3595,10.6732,overcast clouds,39.1,35.99,9,1.19,2024-03-07 13:28:26
Runka,12.44788,7.30918,broken clouds,39.36,37.48,16,3.43,2024-03-07 13:28:27
Ruma,12.8626,7.23469,overcast clouds,5.94,3.65,81,2.98,2024-03-07 13:28:28
Rivers State,4.74974,6.82766,broken clouds,33.13,35.44,46,3.37,2024-03-07 13:28:29
Riti,7.91667,9.61667,overcast clouds,36.39,39.22,38,4.16,2024-03-07 13:28:30
Ringim,12.15482,9.16192,overcast clouds,39.79,36.79,10,1.43,2024-03-07 13:28:30
Rijau,11.10298,5.25068,broken clouds,38.6,35.2,5,3.27,2024-03-07 13:28:31
Rano,11.54912,8.57464,broken clouds,39.88,37.64,14,0.51,2024-03-07 13:28:32
Saminaka,10.41403,8.68279,overcast clouds,36.75,35.26,21,1.74,2024-03-07 13:28:33
Rabah,13.12133,5.50741,broken clouds,40.24,36.62,6,3.39,2024-03-07 13:28:34
Potiskum,11.7091,11.0694,overcast clouds,39.74,36.32,7,1.46,2024-03-07 13:28:34
Port Harcourt,4.77742,7.0134,overcast clouds,33.1,35.92,48,3.06,2024-03-07 13:28:35
Plateau State,9.16667,9.75,overcast clouds,37.71,37.74,26,2.4,2024-03-07 13:28:36
Pindiga,9.98333,10.93333,overcast clouds,38.61,38.84,25,2.75,2024-03-07 13:28:37
Patigi,8.73333,5.75,overcast clouds,38.11,41.51,35,2.26,2024-03-07 13:28:37
Patani,5.22724,6.19238,overcast clouds,34.42,39.69,51,3.65,2024-03-07 13:28:38
Panyam,9.41667,9.21667,overcast clouds,34.39,32.48,21,2.87,2024-03-07 13:28:40
Pankshin,9.33333,9.45,overcast clouds,32.42,30.95,27,2.82,2024-03-07 13:28:41
Ozubulu,5.95666,6.84904,overcast clouds,32.16,35.98,55,2.29,2024-03-07 13:28:42
Oyo State,8.0,4.0,overcast clouds,35.08,37.67,41,3.59,2024-03-07 13:28:42
Oyo,7.85,3.93333,overcast clouds,34.73,37.62,43,3.75,2024-03-07 13:28:43
Oyan,8.05,4.76667,overcast clouds,32.14,34.62,50,3.08,2024-03-07 13:28:44
Owode,6.94864,3.50511,overcast clouds,32.31,35.2,51,3,2024-03-07 13:28:44
Owo,7.1962,5.58681,overcast clouds,32.34,35.26,51,2.93,2024-03-07 13:28:45
Owerri,5.48333,7.03041,overcast clouds,35.63,39.45,43,2.34,2024-03-07 13:28:46
Otukpa,7.08921,7.64989,overcast clouds,34.53,36.36,40,3.67,2024-03-07 13:28:47
Otta,6.66667,3.73333,clear sky,2.3,2.3,74,1.08,2024-03-07 13:28:48
Osogbo,7.76667,4.56667,overcast clouds,33.95,37.32,47,3.02,2024-03-07 13:28:48
Oron,4.82561,8.23434,overcast clouds,32.39,37.68,59,3.14,2024-03-07 13:28:49
Orodo,5.61667,7.03333,overcast clouds,33.98,37.69,48,2.64,2024-03-07 13:28:50
Orlu,5.79464,7.03495,overcast clouds,32.38,36.16,54,2.85,2024-03-07 13:28:51
Orita Eruwa,7.55,3.43333,overcast clouds,34.48,37.76,45,3.83,2024-03-07 13:28:52
Orerokpe,5.63506,5.88956,overcast clouds,31.76,37.11,62,2.97,2024-03-07 13:28:53
Ore,6.74569,4.87748,overcast clouds,34.65,38.44,46,2.21,2024-03-07 13:28:54
Opi,6.7814,7.4365,overcast clouds,32.92,34.56,44,3.71,2024-03-07 13:28:55
Onitsha,6.14543,6.78845,overcast clouds,32.59,36.6,54,2.31,2024-03-07 13:28:55
Ondo State,7.16667,5.08333,overcast clouds,32.45,35.47,51,2.17,2024-03-07 13:28:56
Ondo,7.1,4.83333,overcast clouds,33.13,36.26,49,2.39,2024-03-07 13:28:57
Omuo-Ekiti,7.75833,5.72227,overcast clouds,31.78,33.74,49,3.02,2024-03-07 13:28:58
Omu-Aran,8.13333,5.1,overcast clouds,32.75,34.75,46,3.39,2024-03-07 13:28:59
Omoku,5.3435,6.65321,overcast clouds,33.09,34.15,41,2.04,2024-03-07 13:29:00
Olupona,7.6,4.18333,overcast clouds,32.82,35.65,49,3.35,2024-03-07 13:29:00
Okuta,9.21667,3.18333,overcast clouds,37.01,36.45,25,1.54,2024-03-07 13:29:01
Okrika,4.74159,7.08488,overcast clouds,33.18,36.65,50,3.52,2024-03-07 13:29:02
Oko,6.2995,5.59383,overcast clouds,34.49,38.78,48,3.22,2024-03-07 13:29:03
Okigwe,5.83523,7.35989,overcast clouds,34.94,38.04,43,3.09,2024-03-07 13:29:04
Oke Mesi,7.81667,4.91667,overcast clouds,31.54,33.99,52,2.61,2024-03-07 13:29:06
Okeho,8.03333,3.35,overcast clouds,33.79,35.58,42,3.57,2024-03-07 13:29:07
Ohunene,7.46614,6.66587,overcast clouds,35.76,39.36,42,3.1,2024-03-07 13:29:08
Ohafia-Ifigh,5.61455,7.81191,overcast clouds,36.6,39.99,39,2.08,2024-03-07 13:29:09
Ogwashi-Uku,6.17818,6.52429,overcast clouds,32.65,35.87,51,2.34,2024-03-07 13:29:10
Oguta,5.7089,6.81026,overcast clouds,33.14,37.81,54,1.85,2024-03-07 13:29:11
Ogurugu,6.78558,6.95053,overcast clouds,35.1,38.7,44,3.02,2024-03-07 13:29:12
Ogun State,7.0,3.58333,overcast clouds,33.36,37.33,51,2.96,2024-03-07 13:29:13
Ogoja,6.65471,8.79764,overcast clouds,34.75,38.31,45,3.85,2024-03-07 13:29:14
Ogbomoso,8.13333,4.26667,broken clouds,36.08,38.96,39,3.42,2024-03-07 13:29:15
Ogaminana,7.59464,6.22476,overcast clouds,34.46,37.4,44,3.28,2024-03-07 13:29:16
Offa,8.15,4.71667,overcast clouds,35.44,40.92,48,3.16,2024-03-07 13:29:17
Ode,7.7899,5.7117,overcast clouds,31.93,33.77,48,3.08,2024-03-07 13:29:17
Ochobo,7.183,7.9769,overcast clouds,37.35,40.76,37,3.21,2024-03-07 13:29:18
Obudu,6.66737,9.17157,overcast clouds,32.88,35.5,48,2.81,2024-03-07 13:29:19
Obubra,6.07525,8.32904,broken clouds,35.68,39.2,42,2.55,2024-03-07 13:29:20
Obonoma,4.70844,6.79307,broken clouds,33.16,35.76,47,3.55,2024-03-07 13:29:20
Obolo-Eke (1),6.88333,7.63333,overcast clouds,35.49,38.14,40,3.59,2024-03-07 13:29:21
Obiaruku,5.84671,6.15257,overcast clouds,33.45,38.18,53,3.43,2024-03-07 13:29:22
Numan,9.46667,12.03333,broken clouds,40.14,40.23,22,3.59,2024-03-07 13:29:23
Nsukka,6.8561,7.3927,overcast clouds,32.98,34.91,45,3.63,2024-03-07 13:29:24
Nnewi,6.01986,6.91478,overcast clouds,32.11,35.6,54,2.72,2024-03-07 13:29:24
Nkwerre,5.75555,7.10627,overcast clouds,33.03,36.64,51,3.16,2024-03-07 13:29:25
Nkpor,6.15164,6.84458,overcast clouds,31.88,35.13,54,2.42,2024-03-07 13:29:26
Niger State,10.0,6.0,broken clouds,38.03,40.2,32,3.87,2024-03-07 13:29:27
Federal Republic of Nigeria,10.0,8.0,scattered clouds,36.19,35.31,25,2.74,2024-03-07 13:29:28
Nguru,12.8791,10.4526,broken clouds,39.93,36.48,7,2.16,2024-03-07 13:29:29
Ngurore,9.28333,12.23333,overcast clouds,40.03,40.41,23,4.14,2024-03-07 13:29:30
Ngala,12.33772,14.18052,scattered clouds,40.37,37.55,11,5.99,2024-03-07 13:29:31
New Shagunnu,10.33957,4.4688,overcast clouds,36.04,37.6,35,1.83,2024-03-07 13:29:33
Nasarawa,8.52944,7.72417,overcast clouds,36.51,39.45,38,3.05,2024-03-07 13:29:34
Nafada,11.0956,11.3327,broken clouds,39.8,36.64,9,2.13,2024-03-07 13:29:35
Mutum Biyu,8.63333,10.76667,broken clouds,40.48,41.9,25,4.29,2024-03-07 13:29:37
Musawa,12.12717,7.6698,scattered clouds,39.2,36.88,14,1.6,2024-03-07 13:29:39
Mubi,10.26761,13.26436,overcast clouds,36.55,33.95,13,2.24,2024-03-07 13:29:40
Moriki,12.87405,6.48754,broken clouds,40.4,38.01,13,2.98,2024-03-07 13:29:41
Monguno,12.67863,13.60792,overcast clouds,37.59,35.42,16,5.55,2024-03-07 13:29:42
Mokwa,9.28333,5.05,overcast clouds,39.72,40.62,25,2.41,2024-03-07 13:29:44
Modakeke,7.38333,4.26667,light rain,32.82,36.5,52,2.43,2024-03-07 13:29:48
Misau,11.3163,10.4703,overcast clouds,39.7,36.41,8,2.13,2024-03-07 13:29:49
Miringa,10.73115,12.14626,overcast clouds,38.45,35.62,11,0.41,2024-03-07 13:29:49
Minna,9.61389,6.55694,overcast clouds,37.49,39.56,33,2.98,2024-03-07 13:29:50
Imeko,7.45,2.85,overcast clouds,36.16,38.44,37,3.38,2024-03-07 13:29:51
Mayo-Belwa,9.05,12.05,overcast clouds,39.44,39.18,22,5.19,2024-03-07 13:29:52
Machina,13.13639,10.04924,overcast clouds,40.22,36.73,7,2.52,2024-03-07 13:29:53
Mashi,12.97844,7.95293,overcast clouds,39.52,37.24,14,1.98,2024-03-07 13:29:53
Maru,12.33417,6.40569,scattered clouds,40.45,38.55,15,4.14,2024-03-07 13:29:54
Marte,12.36113,13.8246,broken clouds,40.28,37.45,11,4.84,2024-03-07 13:29:55
Mando,10.71667,6.56667,overcast clouds,38.02,38.52,27,4.22,2024-03-07 13:29:56
Malumfashi,11.78529,7.62175,clear sky,39.25,36.93,14,0.99,2024-03-07 13:29:57
Mallammaduri,12.565,9.95729,broken clouds,40.4,36.89,7,1.31,2024-03-07 13:29:58
Makurdi,7.7411,8.5121,scattered clouds,39.65,42.46,30,2.83,2024-03-07 13:29:59
Maiyama,12.08411,4.36766,broken clouds,40.33,36.57,5,3.57,2024-03-07 13:30:00
Maitama,9.10306,7.49444,overcast clouds,32.74,32.28,34,3.63,2024-03-07 13:30:00
Maiduguri,11.84644,13.16027,broken clouds,42.35,38.59,7,6.69,2024-03-07 13:30:01
Mahuta,11.55254,4.98436,overcast clouds,28.83,31.52,65,1.78,2024-03-07 13:30:02
Magumeri,12.1131,12.8274,overcast clouds,42.19,38.45,7,5.61,2024-03-07 13:30:03
Madara,11.7798,10.4479,broken clouds,40.18,36.84,8,2.2,2024-03-07 13:30:04
Madala,9.10444,7.21333,few clouds,33.55,39.09,55,3.09,2024-03-07 13:30:06
Madagali,10.89018,13.63121,overcast clouds,39.64,36.35,8,4.51,2024-03-07 13:30:08
Lokoja,7.80236,6.743,overcast clouds,37.5,41.07,37,3.32,2024-03-07 13:30:09
Lere,10.38697,8.57262,overcast clouds,37.32,35.61,19,1.95,2024-03-07 13:30:10
Lere,9.70889,9.33833,overcast clouds,37.32,35.61,19,1.95,2024-03-07 13:30:10
Lau,9.21667,11.28333,overcast clouds,41.01,41.98,23,3.29,2024-03-07 13:30:11
