City,Latitude,Longitude
Keffi,8.84861,7.87361
Kazaure,12.65131,8.41615
Kaura Namoda,12.58979,6.57791
Katsina State,12.25,7.5
Katsina-Ala,7.16667,9.28333
Katsina,12.98943,7.60063
Katagum,12.2867,10.3527
Kari,11.2471,10.561
Kano State,11.5,8.5
Kano,12.00012,8.51672
Kankara,11.93016,7.41267
Kamba,11.84864,3.65761
Kaltungo,9.81417,11.30889
Kajuru,10.31921,7.68924
Kajul,10.03176,7.9981
Kangiwa,12.55208,3.81867
Kaiama,9.6225,3.94806
Kagoro,9.6,8.38333
Kafarati,10.38304,11.09567
Kafanchan,9.58333,8.3
Kaduna State,10.33333,7.75
Kaduna,10.52224,7.43828
Kachia,9.86667,7.95
Kabba,7.82873,6.0731
Jos,9.91667,8.9
Jimeta,9.28333,12.46667
Jikamshi,12.17328,7.77424
Jibia,13.09778,7.2225
Jega,12.2175,4.37917
Jebba,9.13333,4.83333
Jalingo,8.88333,11.36667
Lajere,11.97969,11.44426
Jagun Elesin,7.35472,3.98333
Iwo,7.63333,4.18333
Itu,5.2004,7.98475
Isieke,6.37831,8.03524
Iseyin,7.96667,3.6
Ise-Ekiti,7.4632,5.4281
Isara,6.99281,3.68185
Isanlu-Itedoijowa,8.26667,5.83333
Ipoti,7.87377,5.07692
Iperu,6.91002,3.66557
Inisa,7.85,4.33333
Imo State,5.5,7.16667
Ilorin,8.5,4.55
Ilobu,7.83333,4.48333
Illushi,6.6667,6.63076
Illela,13.72918,5.29752
Ilesa,7.61667,4.73333
Ilaro,6.88653,3.0205
Ilare,7.35067,5.11333
Ila Orangun,8.01667,4.9
Ikot Ekpene,5.17938,7.71082
Ikom,5.96669,8.70632
Ikirun,7.91667,4.66667
Ikire,7.35,4.18333
Ikere-Ekiti,7.49133,5.23225
Ikem,6.77903,7.71685
Ikeja,6.59422,3.33748
Ikang,4.78978,8.5316
Ijero-Ekiti,7.8139,5.0742
Ijebu-Ode,6.81609,3.91588
Ijebu-Jesa,7.68333,4.81667
Ijebu-Igbo,6.9798,4.00329
Ijebu-Ife,6.77837,4.03386
Iho,5.56667,7.1
Ihiala,5.85377,6.86026
Igede-Ekiti,7.66676,5.13205
Igbo-Ukwu,6.01669,7.02654
Igbor,7.4527,8.6098
Igbo-Ora,7.43333,3.28333
Igboho,8.83333,3.75
Igbeti,8.75,4.13333
